Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0286663333569336,-0.000153640310158298,0.141057810420415,0,0,0,2.56495028593534,0.00589103688522398,5.40553301340664E-11,6.43227315708912E-05,0.00538157308192533,-3.59280381550706E-12,0.00615538322045417,0,0,0,0,0,0,package://RRPRv.5/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://RRPRv.5/meshes/base_link.STL,,Base_Linkage_Support-1;Base-floor-1;47065T711_MountingFoot-2;47065T711_MountingFoot-1;12INCHES_ALUMINUM T-SLOTTED FRAMING EXTRUSION (1)-2;12INCHES_ALUMINUM T-SLOTTED FRAMING EXTRUSION (1)-1;47065T711_MountingFoot-4;47065T711_MountingFoot-3;5inches_ALUMINUM T-SLOTTED-3;L-bracket_small_ T-SLOTTED-1;L-bracket_small_ T-SLOTTED-2;L_bracket_t_slotted-1;L_bracket_t_slotted-2,Coordinate System6,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.116433954067944,0.014456832240029,0.0384712439474499,0,0,0,0.568507286781673,0.000423004929235135,-0.00022516513393317,0.000122650311410491,0.00220850626547171,1.52286765961289E-05,0.00210823760330215,0,0,0,0,0,0,package://RRPRv.5/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://RRPRv.5/meshes/Link1.STL,,Arm-shaft 2-1;Arm-shaft 1-2,Origin_Revolute1,Axis_Revolute1,Joint1,revolute,0.105705802967444,-0.000160096560565315,0.223882223455255,0,0,0,base_link,0,0,1,0,1,-2,2,,,,,,,,
Link2,0.0829498912742019,0.00283016633079727,0.00977088530359427,0,0,0,0.212874058038776,6.57074308602495E-05,-1.74128836487361E-05,8.48237883077507E-06,0.000390393473487716,7.84228298422966E-07,0.000425987376929658,0,0,0,0,0,0,package://RRPRv.5/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://RRPRv.5/meshes/Link2.STL,,Arm-Joint 2_EE-1;arm_joint_2_bracket-2,Coordinate System15,Axis6,Joint2,revolute,0.18855,0.023411,0.031,0,0,0,Link1,0,0,1,0,1,-2,2,,,,,,,,
Tool,-9.72402702803521E-09,-0.00301465374734057,0.0350594165986704,0,0,0,0.0234300518411411,4.54223226395574E-05,-6.58197486818163E-13,-4.12941640972723E-11,3.9840640795843E-05,-3.19273736468928E-06,6.99260436220381E-06,0,0,0,0,0,0,package://RRPRv.5/meshes/Tool.STL,1,1,1,1,0,0,0,0,0,0,package://RRPRv.5/meshes/Tool.STL,,Rigid Body v.2-1;Lead Screw - Cap-1,Coordinate System13,Axis8,Tool1,prismatic,0.120000000000001,0,-0.0661999999999999,-3.14159265358979,0,0,Link2,0,0,1,0,0.075,0,0.06,,,,,,,,
Link_4,-0.00054307,0.0042151,0.043718,0,0,0,0.031206,8.5444E-06,-2.4024E-12,-2.8113E-07,1.1073E-05,-4.1279E-08,3.5787E-06,0,0,0,0,0,0,package://RRPRv.5/meshes/Link_4.STL,1,1,1,0.32,0,0,0,0,0,0,package://RRPRv.5/meshes/Link_4.STL,,Gripper_Plat_2-2;gripperBase-1;Gripper_Motor_1-3;gripperArm-1;part1-1;part1-2;part2-3;part2-4,Coordinate System14,Axis9,Revolute4,revolute,0.000137010778993973,0,0.125,0,0,0,Tool,0,0,1,0,3,0,1.57,,,,,,,,
RigidBody,2.87771436613404E-06,-0.0173929119730617,0.0320554627815183,0,0,0,0.0449807260778654,7.00183446612558E-05,9.95742445982749E-10,-9.21738417998538E-12,7.15602703777899E-05,-4.05681886933872E-09,5.3618551938514E-06,0,0,0,0,0,0,package://RRPRv.5/meshes/RigidBody.STL,1,1,1,1,0,0,0,0,0,0,package://RRPRv.5/meshes/RigidBody.STL,,End Effector ASSEMBLY-1/Lead Screw Holder-1;End Effector ASSEMBLY-1/Lead Screw Holder-3;End Effector ASSEMBLY-1/Stability Rod-1;End Effector ASSEMBLY-1/8mm-1,Coordinate System13,Axis8,Fixed_Body,fixed,0.120000000000001,0,-0.0661999999999999,-3.14159265358979,0,0,Link2,0,0,0,0,0,0,0,,,,,0,0,0,0
